,Datetime,Region,Technology,Tech category,Value
276,2048,reg1,Hydro_PP,Supply,0.4295454545454547
277,2049,reg1,Hydro_PP,Supply,0.4295454545454547
278,2050,reg1,Hydro_PP,Supply,0.4295454545454511
279,2020,reg1,Pump_hydro_PP,Supply,0.0
280,2021,reg1,Pump_hydro_PP,Supply,0.212611067716157
281,2022,reg1,Pump_hydro_PP,Supply,0.212611067716157
282,2023,reg1,Pump_hydro_PP,Supply,0.212611067716157
283,2024,reg1,Pump_hydro_PP,Supply,0.212611067716157
284,2025,reg1,Pump_hydro_PP,Supply,0.212611067716157
285,2026,reg1,Pump_hydro_PP,Supply,0.212611067716157
286,2027,reg1,Pump_hydro_PP,Supply,0.212611067716157
287,2028,reg1,Pump_hydro_PP,Supply,0.212611067716157
288,2029,reg1,Pump_hydro_PP,Supply,0.212611067716157
289,2030,reg1,Pump_hydro_PP,Supply,0.21261106771615523
290,2031,reg1,Pump_hydro_PP,Supply,0.20045454545454522
291,2032,reg1,Pump_hydro_PP,Supply,0.20045454545454522
292,2033,reg1,Pump_hydro_PP,Supply,0.20045454545454522
293,2034,reg1,Pump_hydro_PP,Supply,0.20045454545454522
294,2035,reg1,Pump_hydro_PP,Supply,0.20045454545454522
295,2036,reg1,Pump_hydro_PP,Supply,0.20045454545454522
296,2037,reg1,Pump_hydro_PP,Supply,0.20045454545454522
297,2038,reg1,Pump_hydro_PP,Supply,0.20045454545454522
298,2039,reg1,Pump_hydro_PP,Supply,0.20045454545454522
299,2040,reg1,Pump_hydro_PP,Supply,0.20045454545454522
300,2041,reg1,Pump_hydro_PP,Supply,0.20045454545454522
301,2042,reg1,Pump_hydro_PP,Supply,0.20045454545454522
302,2043,reg1,Pump_hydro_PP,Supply,0.2004545454545461
303,2044,reg1,Pump_hydro_PP,Supply,0.20045454545454522
304,2045,reg1,Pump_hydro_PP,Supply,0.20045454545454522
305,2046,reg1,Pump_hydro_PP,Supply,0.2004545454545461
306,2047,reg1,Pump_hydro_PP,Supply,0.20045454545454522
307,2048,reg1,Pump_hydro_PP,Supply,0.20045454545454522
308,2049,reg1,Pump_hydro_PP,Supply,0.20045454545454522
309,2050,reg1,Pump_hydro_PP,Supply,0.20045454545454966
310,2020,reg1,Electricity_imports,Supply,0.0
311,2021,reg1,Electricity_imports,Supply,0.0
312,2022,reg1,Electricity_imports,Supply,0.0
313,2023,reg1,Electricity_imports,Supply,0.0
314,2024,reg1,Electricity_imports,Supply,0.0
315,2025,reg1,Electricity_imports,Supply,0.0
316,2026,reg1,Electricity_imports,Supply,0.0
317,2027,reg1,Electricity_imports,Supply,0.0
318,2028,reg1,Electricity_imports,Supply,0.0
319,2029,reg1,Electricity_imports,Supply,0.0
320,2030,reg1,Electricity_imports,Supply,0.0
321,2031,reg1,Electricity_imports,Supply,0.0
322,2032,reg1,Electricity_imports,Supply,0.0
323,2033,reg1,Electricity_imports,Supply,0.0
324,2034,reg1,Electricity_imports,Supply,0.0
325,2035,reg1,Electricity_imports,Supply,0.0
