Scenario,Year,Actualized emission
scenario10,Y24,191492053.21840385
scenario10,Y25,180230139.3534386
scenario10,Y26,170834410.12273982
scenario10,Y27,161924311.54116753
scenario10,Y28,153473218.31291863
scenario10,Y29,145459628.25396562
scenario10,Y30,137863750.26181197
scenario10,Y31,131304132.62785086
scenario10,Y32,125051554.88366748
scenario10,Y33,119096718.93682614
scenario10,Y34,113611960.35460652
scenario10,Y35,107930776.72084092
scenario10,Y36,102880223.67936604
scenario10,Y37,97981165.40892006
scenario10,Y38,93315395.6275429
scenario10,Y39,88871805.35956469
scenario10,Y40,84639814.62815681
scenario10,Y41,80602427.52850571
scenario10,Y42,76766612.72462434
scenario10,Y43,73119796.08635409
scenario10,Y44,69644140.5666845
scenario10,Y45,66390888.309793815
scenario10,Y46,63103349.00602711
scenario10,Y47,59853817.02898664
scenario10,Y48,56926940.87233659
scenario10,Y49,54210268.00666208
scenario10,Y50,51617398.81891143
scenario11,Y0,907372520.5918912
scenario11,Y1,817298723.9150186
scenario11,Y2,783750383.9971007
scenario11,Y3,748676297.4518554
scenario11,Y4,713975718.6886249
scenario11,Y5,679981741.0037568
scenario11,Y6,630580086.6848438
scenario11,Y7,585165719.1385125
scenario11,Y8,544745031.2259845
scenario11,Y9,507505406.9642646
scenario11,Y10,472490186.72428674
scenario11,Y11,439936214.5009899
scenario11,Y12,411193756.57163495
scenario11,Y13,383866998.1914827
scenario11,Y14,358553604.5678649
scenario11,Y15,335031816.9381096
scenario11,Y16,315024129.7820868
scenario11,Y17,296042363.3935176
scenario11,Y18,276632442.0269509
scenario11,Y19,259274526.3560361
scenario11,Y20,243231170.62896517
scenario11,Y21,229763751.88985407
scenario11,Y22,216268400.6700333
scenario11,Y23,203863416.2163557
scenario11,Y24,191490360.46165028
scenario11,Y25,180230139.3534386
scenario11,Y26,170833819.19755247
scenario11,Y27,161921236.347673
scenario11,Y28,153470092.63724327
scenario11,Y29,145457223.45214695
scenario11,Y30,137863750.26181197
scenario11,Y31,131304132.62785086
scenario11,Y32,125051554.88366748
scenario11,Y33,119096718.93682615
scenario11,Y34,113611960.35460652
scenario11,Y35,107930776.72084096
scenario11,Y36,102880223.67936604
scenario11,Y37,97981165.40892006
scenario11,Y38,93315395.62754291
scenario11,Y39,88871805.35956468
scenario11,Y40,84639814.62815683
scenario11,Y41,80602427.5285057
scenario11,Y42,76766612.72462435
scenario11,Y43,73119796.08635409
scenario11,Y44,69644140.56668448
scenario11,Y45,66390888.309793815
scenario11,Y46,63103349.00602711
scenario11,Y47,59853817.02898663
scenario11,Y48,56926940.87233659
scenario11,Y49,54210268.00666208
scenario11,Y50,51617398.81891144
scenario12,Y0,907372520.5918912
scenario12,Y1,815339639.548763
scenario12,Y2,781470956.9358376
scenario12,Y3,743736844.5357683
scenario12,Y4,709465734.7792565
scenario12,Y5,675530602.6324986
scenario12,Y6,625823876.7829715
scenario12,Y7,581089610.9973674
scenario12,Y8,540581612.5694236
scenario12,Y9,503535004.7685127
scenario12,Y10,468397122.8298121
scenario12,Y11,435434631.6804282
scenario12,Y12,406712765.6746895
scenario12,Y13,379363721.4340841
scenario12,Y14,354176893.4065334
scenario12,Y15,330695436.72681445
scenario12,Y16,306614777.83783805
scenario12,Y17,284089393.84476954
scenario12,Y18,261560598.36221293
scenario12,Y19,241351524.30422392
scenario12,Y20,222798842.89329407
scenario12,Y21,206801009.23735848
scenario12,Y22,191498739.2702517
scenario12,Y23,177127410.96046004
scenario12,Y24,163511021.445275
scenario12,Y25,151046183.99554542
scenario12,Y26,143137886.24434167
scenario12,Y27,135799619.40006724
scenario12,Y28,128787515.62976466
scenario12,Y29,122140939.44060764
scenario12,Y30,115835335.32472692
scenario12,Y31,110271382.99833822
scenario12,Y32,105024267.64203312
scenario12,Y33,100031811.28254128
scenario12,Y34,95497336.77065492
scenario12,Y35,90680096.2825209
scenario12,Y36,86451004.21429935
scenario12,Y37,82334289.72790414
scenario12,Y38,78413609.26467063
scenario12,Y39,74679627.87111486
scenario12,Y40,71123455.11534749
scenario12,Y41,67736623.91937858
scenario12,Y42,64511070.39940815
scenario12,Y43,61444678.15282015
scenario12,Y44,58524198.145319454
scenario12,Y45,55801034.38920002
scenario12,Y46,53016863.770260304
scenario12,Y47,50176759.90572221
scenario12,Y48,47712846.53329919
scenario12,Y49,45446025.14384855
scenario12,Y50,43341380.51391584
scenario13,Y0,907372520.5918912
scenario13,Y1,814798748.4211105
scenario13,Y2,780955822.5285493
scenario13,Y3,688112365.0588503
scenario13,Y4,656777535.1563807
scenario13,Y5,627694693.2781807
scenario13,Y6,582573802.6454637
scenario13,Y7,540602864.7376349
scenario13,Y8,502693808.6317342
scenario13,Y9,464830461.4985013
scenario13,Y10,436002550.4047777
scenario13,Y11,406372197.2906884
scenario13,Y12,379704639.0193248
scenario13,Y13,354403095.0373706
scenario13,Y14,331219999.68760216
scenario13,Y15,309709345.693903
scenario13,Y16,287820807.68251586
scenario13,Y17,267236416.28105715
scenario13,Y18,245871842.8237994
scenario13,Y19,226557136.3741143
scenario13,Y20,208982574.5973414
scenario13,Y21,193734178.90919948
scenario13,Y22,179172572.893764
scenario13,Y23,165538959.22957516
scenario13,Y24,152687404.55656087
scenario13,Y25,141026709.55583942
scenario13,Y26,133130633.64318718
scenario13,Y27,126248649.62800965
scenario13,Y28,120984828.12572224
scenario13,Y29,114798380.30949748
scenario13,Y30,108909753.07206067
scenario13,Y31,103722254.20955266
scenario13,Y32,98783099.247193
scenario13,Y33,94079142.1401838
scenario13,Y34,89745578.97822848
scenario13,Y35,85243581.64782329
scenario13,Y36,81273653.22538818
scenario13,Y37,77403479.26227444
scenario13,Y38,73717599.29740424
scenario13,Y39,70207237.42609927
scenario13,Y40,66862284.092474505
scenario13,Y41,63678365.8023567
scenario13,Y42,60626282.31463657
scenario13,Y43,57750609.87661258
scenario13,Y44,55013875.95886587
scenario13,Y45,52542779.27685014
scenario13,Y46,49898933.71316902
scenario13,Y47,47292093.72685882
scenario13,Y48,44971056.49461476
scenario13,Y49,42828687.629718125
scenario13,Y50,40800213.48187365
