Scenario,Year,Actualized cost
scenario11,Y18,38416849531.80549
scenario11,Y19,37315481740.04533
scenario11,Y20,34449360288.41255
scenario11,Y21,33026183839.53348
scenario11,Y22,31302880594.346107
scenario11,Y23,29641518357.93928
scenario11,Y24,27771399031.17676
scenario11,Y25,27438766394.18051
scenario11,Y26,26000056462.815205
scenario11,Y27,24110637448.819763
scenario11,Y28,22848451440.042976
scenario11,Y29,21576585199.65063
scenario11,Y30,20345462335.25113
scenario11,Y31,19113220250.062
scenario11,Y32,17907819265.094677
scenario11,Y33,17077994885.886
scenario11,Y34,16177943573.965029
scenario11,Y35,15438672379.797491
scenario11,Y36,14457367289.376934
scenario11,Y37,13747221484.49812
scenario11,Y38,13080223978.388882
scenario11,Y39,12421664458.523094
scenario11,Y40,11932771289.178932
scenario11,Y41,11304564796.43251
scenario11,Y42,10766146561.41646
scenario11,Y43,10214362714.164623
scenario11,Y44,9706309200.411348
scenario11,Y45,9216898656.287651
scenario11,Y46,8722409291.420284
scenario11,Y47,8263149053.708603
scenario11,Y48,7849719597.744583
scenario11,Y49,7478690465.602038
scenario11,Y50,7168888224.553299
scenario12,Y0,68148839607.86262
scenario12,Y1,94972932220.73656
scenario12,Y2,152774550112.51642
scenario12,Y3,99873264891.11237
scenario12,Y4,96588519598.63852
scenario12,Y5,93725379336.43578
scenario12,Y6,86692233715.61705
scenario12,Y7,79965381910.06062
scenario12,Y8,74877642018.16412
scenario12,Y9,71354079271.57927
scenario12,Y10,68239981679.79078
scenario12,Y11,61639009715.40205
scenario12,Y12,57650770413.93089
scenario12,Y13,54129807274.22685
scenario12,Y14,51297599870.030304
scenario12,Y15,48954393007.50044
scenario12,Y16,46176749841.29422
scenario12,Y17,43775347350.4648
scenario12,Y18,41744229888.11895
scenario12,Y19,40304678891.334335
scenario12,Y20,37254808241.76149
scenario12,Y21,35303542636.40168
scenario12,Y22,33699686218.468723
scenario12,Y23,31541464174.768845
scenario12,Y24,29646717268.086823
scenario12,Y25,29256973211.60821
scenario12,Y26,27629438239.86428
scenario12,Y27,26087379038.62051
scenario12,Y28,24336358044.88235
scenario12,Y29,23012385361.599007
scenario12,Y30,21739736395.082447
scenario12,Y31,20356922949.75734
scenario12,Y32,18967564590.331142
scenario12,Y33,18109320304.25206
scenario12,Y34,17321528661.889194
scenario12,Y35,16591465107.16529
scenario12,Y36,15451355424.588572
scenario12,Y37,14694937844.05305
scenario12,Y38,13978439640.891142
scenario12,Y39,13299643975.577244
scenario12,Y40,12768942257.801931
scenario12,Y41,12097773488.71895
scenario12,Y42,11516373470.612766
scenario12,Y43,10952982310.256716
scenario12,Y44,10409355429.455046
scenario12,Y45,9871898882.289606
scenario12,Y46,9339899279.573534
scenario12,Y47,8842772536.51033
scenario12,Y48,8395677145.191067
scenario12,Y49,8016779747.498958
scenario12,Y50,7677589798.842325
scenario13,Y0,68154782545.1208
scenario13,Y1,107437598651.40231
scenario13,Y2,153197398964.01447
scenario13,Y3,112270623580.69724
scenario13,Y4,108263584214.7373
scenario13,Y5,104853323480.24174
scenario13,Y6,98603399691.49876
scenario13,Y7,88781140109.95442
scenario13,Y8,83905769104.07755
scenario13,Y9,79185464947.73097
scenario13,Y10,75686381147.9387
scenario13,Y11,68968300024.70882
scenario13,Y12,64406046866.29091
scenario13,Y13,59965170531.82484
scenario13,Y14,56497835530.818
scenario13,Y15,53812919304.01657
scenario13,Y16,50975598379.76029
scenario13,Y17,48302513814.74098
scenario13,Y18,46142721672.99956
scenario13,Y19,44118631402.75302
scenario13,Y20,40547063230.4951
scenario13,Y21,38333874085.14791
scenario13,Y22,36629836508.462685
scenario13,Y23,34303523360.93361
scenario13,Y24,32626474612.45015
scenario13,Y25,31375813575.075054
scenario13,Y26,32651181191.931755
scenario13,Y27,28115532871.285683
scenario13,Y28,26290371398.841133
scenario13,Y29,24786685767.016632
scenario13,Y30,23441793661.178764
scenario13,Y31,22329899556.55708
scenario13,Y32,20408746351.743195
scenario13,Y33,19585322129.806168
scenario13,Y34,18601828888.64859
scenario13,Y35,17850784779.139492
scenario13,Y36,16732633309.45971
scenario13,Y37,15922065266.92585
scenario13,Y38,15152876643.610302
scenario13,Y39,14417141937.38071
scenario13,Y40,13814992379.209484
scenario13,Y41,13167219087.39928
scenario13,Y42,12472860999.070623
scenario13,Y43,11843919752.149502
scenario13,Y44,11234652451.58368
scenario13,Y45,10667621258.103722
scenario13,Y46,10121401735.11423
scenario13,Y47,9593097959.901352
scenario13,Y48,9105100672.559298
scenario13,Y49,8683836182.726751
scenario13,Y50,8315820203.384553
