,Scenario,Datetime,Region,Technology,Emission,Value
291,scenario1,2056,reg1,Bio_oil_supply,CO2,0.0
292,scenario1,2057,reg1,Bio_oil_supply,CO2,0.0
293,scenario1,2058,reg1,Bio_oil_supply,CO2,0.0
294,scenario1,2059,reg1,Bio_oil_supply,CO2,0.0
295,scenario1,2060,reg1,Bio_oil_supply,CO2,0.0
296,scenario1,2061,reg1,Bio_oil_supply,CO2,0.0
297,scenario1,2062,reg1,Bio_oil_supply,CO2,0.0
298,scenario1,2063,reg1,Bio_oil_supply,CO2,0.0
299,scenario1,2064,reg1,Bio_oil_supply,CO2,0.0
300,scenario1,2065,reg1,Bio_oil_supply,CO2,0.0
301,scenario1,2066,reg1,Bio_oil_supply,CO2,0.0
302,scenario1,2067,reg1,Bio_oil_supply,CO2,0.0
303,scenario1,2068,reg1,Bio_oil_supply,CO2,0.0
304,scenario1,2069,reg1,Bio_oil_supply,CO2,0.0
305,scenario1,2070,reg1,Bio_oil_supply,CO2,0.0
306,scenario1,2020,reg1,Geo_PP,CO2,2417210.4000000004
307,scenario1,2021,reg1,Geo_PP,CO2,2417210.4000000004
308,scenario1,2022,reg1,Geo_PP,CO2,2417210.4000000004
309,scenario1,2023,reg1,Geo_PP,CO2,2417210.4000000004
310,scenario1,2024,reg1,Geo_PP,CO2,2417210.3999999994
311,scenario1,2025,reg1,Geo_PP,CO2,2417210.4
312,scenario1,2026,reg1,Geo_PP,CO2,2417210.4000000004
313,scenario1,2027,reg1,Geo_PP,CO2,2417210.4
314,scenario1,2028,reg1,Geo_PP,CO2,2417210.4000000004
315,scenario1,2029,reg1,Geo_PP,CO2,2417210.3999999994
316,scenario1,2030,reg1,Geo_PP,CO2,2417210.3999999994
317,scenario1,2031,reg1,Geo_PP,CO2,2417210.4000000004
318,scenario1,2032,reg1,Geo_PP,CO2,2417210.4000000004
319,scenario1,2033,reg1,Geo_PP,CO2,2417210.400000001
320,scenario1,2034,reg1,Geo_PP,CO2,2417210.4000000004
321,scenario1,2035,reg1,Geo_PP,CO2,2417210.400000001
322,scenario1,2036,reg1,Geo_PP,CO2,2417210.4000000004
323,scenario1,2037,reg1,Geo_PP,CO2,2417210.4000000004
324,scenario1,2038,reg1,Geo_PP,CO2,2417210.400000001
325,scenario1,2039,reg1,Geo_PP,CO2,2417210.4000000004
326,scenario1,2040,reg1,Geo_PP,CO2,2417210.4
327,scenario1,2041,reg1,Geo_PP,CO2,2417210.3999999994
328,scenario1,2042,reg1,Geo_PP,CO2,2417210.3999999994
329,scenario1,2043,reg1,Geo_PP,CO2,2417210.3999999994
330,scenario1,2044,reg1,Geo_PP,CO2,2417210.3999999994
331,scenario1,2045,reg1,Geo_PP,CO2,2417210.3999999994
332,scenario1,2046,reg1,Geo_PP,CO2,2417210.3999999994
333,scenario1,2047,reg1,Geo_PP,CO2,2417210.3999999994
334,scenario1,2048,reg1,Geo_PP,CO2,2417210.3999999994
335,scenario1,2049,reg1,Geo_PP,CO2,2417210.3999999994
336,scenario1,2050,reg1,Geo_PP,CO2,2417210.3999999994
337,scenario1,2051,reg1,Geo_PP,CO2,2417210.4000000013
