Scenario,Year,Actualized emission
scenario9,Y2,888162903.6371592
scenario9,Y3,749539100.3448017
scenario9,Y4,718175164.4295906
scenario9,Y5,687879235.7613623
scenario9,Y6,635727562.6516994
scenario9,Y7,586887493.1672754
scenario9,Y8,542715479.6631016
scenario9,Y9,501287607.6517455
scenario9,Y10,462459297.9951275
scenario9,Y11,431250545.1510021
scenario9,Y12,402794504.0064984
scenario9,Y13,375868159.5994398
scenario9,Y14,351428099.14472926
scenario9,Y15,328485250.6565855
scenario9,Y16,302774058.9934421
scenario9,Y17,278778996.93737715
scenario9,Y18,256357734.5894984
scenario9,Y19,235264032.44011337
scenario9,Y20,215693620.26225764
scenario9,Y21,197635159.8700716
scenario9,Y22,181005779.88812396
scenario9,Y23,165791532.064083
scenario9,Y24,151093528.41017246
scenario9,Y25,137981347.71491504
scenario9,Y26,130830649.695268
scenario9,Y27,124019865.04004116
scenario9,Y28,117559412.17497252
scenario9,Y29,111406423.02092184
scenario9,Y30,105547995.62026834
scenario9,Y31,100523186.70230111
scenario9,Y32,95736368.28790584
scenario9,Y33,91177493.60752936
scenario9,Y34,87065623.98391369
scenario9,Y35,82607352.18798786
scenario9,Y36,78762547.11804716
scenario9,Y37,75011949.63623539
scenario9,Y38,71439952.0345099
scenario9,Y39,68038049.55667609
scenario9,Y40,64798142.43492959
scenario9,Y41,61712516.60469486
scenario9,Y42,58773825.33780462
scenario9,Y43,55988418.97237075
scenario9,Y44,53322303.78321023
scenario9,Y45,50919828.39874433
scenario9,Y46,48182955.34981952
scenario9,Y47,45616984.84586346
scenario9,Y48,43334726.14652113
scenario9,Y49,41249666.06897345
scenario9,Y50,39265055.02485726
scenario10,Y0,1011301713.5593356
scenario10,Y1,921822141.9375068
scenario10,Y2,890861546.3503703
scenario10,Y3,855933770.6692866
scenario10,Y4,824745578.3292624
scenario10,Y5,794580612.1280397
scenario10,Y6,735692264.9927359
scenario10,Y7,680543499.1860375
scenario10,Y8,629146282.8502427
scenario10,Y9,582057143.0050594
scenario10,Y10,539052939.2704092
scenario10,Y11,500984846.381572
scenario10,Y12,467747546.8953497
scenario10,Y13,436739179.33838177
scenario10,Y14,409513939.125024
scenario10,Y15,383769326.5357774
scenario10,Y16,359989994.522922
scenario10,Y17,337448842.7222126
scenario10,Y18,314222578.8622489
scenario10,Y19,294173971.7518937
scenario10,Y20,274946003.2332248
scenario10,Y21,258610922.0976988
scenario10,Y22,242763864.79458815
scenario10,Y23,228224146.32973868
scenario10,Y24,213680003.7779435
scenario10,Y25,200390364.6647688
scenario10,Y26,189791072.6894487
scenario10,Y27,180060753.03083006
scenario10,Y28,170578731.66598314
scenario10,Y29,161542950.44059724
scenario10,Y30,152966315.63896844
scenario10,Y31,145682205.37044615
scenario10,Y32,138744957.495663
scenario10,Y33,132138054.75777426
scenario10,Y34,126074281.40249015
scenario10,Y35,119760483.16129863
scenario10,Y36,114145819.8965764
scenario10,Y37,108708707.13272232
scenario10,Y38,103523738.70755877
scenario10,Y39,98594036.86434166
scenario10,Y40,93899082.72794442
scenario10,Y41,89398163.49360797
scenario10,Y42,85149030.45623478
scenario10,Y43,81100665.7011968
scenario10,Y44,77247240.55000463
scenario10,Y45,73557746.86030376
scenario10,Y46,69909032.65412138
scenario10,Y47,66462185.71488131
scenario10,Y48,63220566.35337895
scenario10,Y49,60178641.01439045
scenario10,Y50,57360913.69855442
scenario11,Y0,1011301713.5593356
scenario11,Y1,919362466.5609444
scenario11,Y2,888115650.6875602
scenario11,Y3,749519679.0655049
scenario11,Y4,718152315.2590512
scenario11,Y5,687854766.1244501
scenario11,Y6,635704853.0865222
scenario11,Y7,586868278.8443922
scenario11,Y8,542708012.976463
scenario11,Y9,501316318.2490736
scenario11,Y10,462493926.1497059
scenario11,Y11,431309843.5144656
scenario11,Y12,402818778.7054305
scenario11,Y13,375421436.6933791
scenario11,Y14,350774307.2851796
scenario11,Y15,328165522.61849034
scenario11,Y16,302817378.1304492
scenario11,Y17,278877938.15184337
scenario11,Y18,256556952.97961605
scenario11,Y19,235729802.12779176
scenario11,Y20,216316964.8927616
scenario11,Y21,198176831.3834154
scenario11,Y22,181417484.22209427
scenario11,Y23,165979265.6097764
scenario11,Y24,151492122.8862874
scenario11,Y25,138448952.94155508
scenario11,Y26,131194619.45237222
scenario11,Y27,124324043.018427
scenario11,Y28,117800902.63493912
scenario11,Y29,111616846.37407728
scenario11,Y30,105752584.69433177
scenario11,Y31,100718033.43950436
scenario11,Y32,95921936.60905176
scenario11,Y33,91354225.34195404
scenario11,Y34,87099849.4620787
scenario11,Y35,82794383.5622975
scenario11,Y36,78915214.6350969
scenario11,Y37,75157347.27152085
scenario11,Y38,71578425.972877
scenario11,Y39,68169929.49797809
scenario11,Y40,64923742.37902675
scenario11,Y41,61832135.5990731
scenario11,Y42,58887748.18959343
scenario11,Y43,56083569.704374686
scenario11,Y44,53412923.52797589
scenario11,Y45,50972869.1611257
scenario11,Y46,48399666.2562785
scenario11,Y47,45839627.38734702
scenario11,Y48,43565161.15525132
scenario11,Y49,41481720.72058757
scenario11,Y50,39497931.02658326
scenario12,Y0,1011301713.5593356
scenario12,Y1,919362466.5609444
scenario12,Y2,888148551.3657544
scenario12,Y3,749519679.0655049
scenario12,Y4,718152315.2590512
scenario12,Y5,687854766.1244501
scenario12,Y6,635704853.0865222
scenario12,Y7,586868278.8443922
scenario12,Y8,542701320.5803795
scenario12,Y9,501280800.7667185
scenario12,Y10,462459563.5818969
scenario12,Y11,431261363.97840416
scenario12,Y12,402795572.0369375
scenario12,Y13,375406630.3753485
scenario12,Y14,350764940.70689315
scenario12,Y15,328137988.83061045
scenario12,Y16,302817281.9752436
scenario12,Y17,278874514.884841
scenario12,Y18,256553797.81312835
scenario12,Y19,235726897.69634265
scenario12,Y20,216314294.8815768
scenario12,Y21,198174384.8219434
scenario12,Y22,181415243.4668925
scenario12,Y23,165976935.146939
scenario12,Y24,151490121.38137966
