,Datetime,Region,Technology,Cost,Value
266,2015,reg4,BW_supply,CO2_emission_cost,0.0
267,2015,reg4,Geo_PP,CO2_emission_cost,0.0
268,2015,reg4,Solar_PV_PP,CO2_emission_cost,0.0
269,2015,reg4,Wind_PP,CO2_emission_cost,0.0
270,2015,reg4,Small_Hydro_PP,CO2_emission_cost,0.0
271,2015,reg4,Large_Hydro_PP,CO2_emission_cost,0.0
272,2015,reg4,SFF_PP,CO2_emission_cost,0.0
273,2015,reg4,Oil_PP,CO2_emission_cost,0.0
274,2015,reg4,NG_PP,CO2_emission_cost,0.0
275,2015,reg4,BW_PP,CO2_emission_cost,0.0
